# Time Series: Chi-Chi, Taiwan 1999 - TCU068-090
# Time (s),Acceleration (g's)
3.195,-5.48871E-4
3.2,-8.5842E-4
3.205,-0.00121213
3.21,-0.00163287
3.215,-0.00207905
3.22,-0.00253094
3.225,-0.00299553
3.23,-0.0034504
3.235,-0.00388014
3.24,-0.00423432
3.245,-0.00446798
3.25,-0.0045066
3.255,-0.00445874
3.26,-0.00444326
3.265,-0.00436004
3.27,-0.00432532
3.275,-0.00434222
3.28,-0.00429416
3.285,-0.00424382
3.29,-0.00415183
3.295,-0.00409765
3.3,-0.00415439
3.305,-0.00430643
3.31,-0.00445734
3.315,-0.00460658
3.32,-0.00474988
3.325,-0.0048567
3.33,-0.00491326
3.335,-0.00496125
3.34,-0.00499421
3.345,-0.00489362
3.35,-0.00470256
3.355,-0.00449501
3.36,-0.00424236
3.365,-0.00389997
3.37,-0.0036306
3.375,-0.00345898
3.38,-0.00322861
3.385,-0.00282091
3.39,-0.00241668
3.395,-0.00207245
3.4,-0.00158793
3.405,-0.00105492
3.41,-6.45372E-4
3.415,-2.38077E-4
3.42,2.28222E-4
3.425,6.60165E-4
3.43,9.2124E-4
3.435,0.00102202
3.44,0.00118105
3.445,0.0013528
3.45,0.00139843
3.455,0.00137961
3.46,0.0013436
3.465,0.00126567
3.47,0.00104381
3.475,7.61898E-4
3.48,7.57788E-4
3.485,8.87168E-4
3.49,9.2748E-4
3.495,9.62842E-4
3.5,0.00113785
3.505,0.00141413
3.51,0.0016662
3.515,0.00185608
3.52,0.00196975
3.525,0.00192534
3.53,0.00184364
3.535,0.0018708
3.54,0.00183671
3.545,0.00164356
3.55,0.00153596
3.555,0.00158512
3.56,0.00170041
3.565,0.00176808
3.57,0.00178463
3.575,0.00180061
3.58,0.00190507
3.585,0.00208915
3.59,0.00209396
3.595,0.00186515
3.6,0.0015773
3.605,0.0013221
3.61,0.00101763
3.615,5.58018E-4
3.62,7.74504E-5
3.625,-2.64514E-4
3.63,-6.03508E-4
3.635,-0.00110164
3.64,-0.00169763
3.645,-0.00229296
3.65,-0.00282161
3.655,-0.00324306
3.66,-0.00358504
3.665,-0.00386934
3.67,-0.00420128
3.675,-0.00447439
3.68,-0.00449782
3.685,-0.00438912
3.69,-0.00429748
3.695,-0.00433495
3.7,-0.00438014
3.705,-0.00428535
3.71,-0.00412695
3.715,-0.00391452
3.72,-0.0036147
3.725,-0.00322255
3.73,-0.00271266
3.735,-0.00201807
3.74,-0.00124128
3.745,-4.4297E-4
3.75,3.07043E-4
3.755,9.74609E-4
3.76,0.00161673
3.765,0.0021753
3.77,0.002497
3.775,0.00275417
3.78,0.00308608
3.785,0.00336296
3.79,0.0034823
3.795,0.00346739
3.8,0.00353575
3.805,0.00366967
3.81,0.00371072
3.815,0.00377449
3.82,0.00380491
3.825,0.0036218
3.83,0.00327621
3.835,0.00293368
3.84,0.00268738
3.845,0.00253261
3.85,0.00246049
3.855,0.00251169
3.86,0.00264013
3.865,0.00283724
3.87,0.00296993
3.875,0.00302101
