# Time Series: Kocaeli, Turkey 1999 - ATS-090
# Time (s),Acceleration (g's)
3.94,0.0031916
3.945,0.00424206
3.95,0.00489744
3.955,0.00524949
3.96,0.00561511
3.965,0.00608076
3.97,0.00655008
3.975,0.00696345
3.98,0.00743587
3.985,0.00805757
3.99,0.00875721
3.995,0.00946398
4.0,0.0101419
4.005,0.0106367
4.01,0.0108171
4.015,0.0108415
4.02,0.0107607
4.025,0.0103814
4.03,0.00972099
4.035,0.00914114
4.04,0.00895668
4.045,0.00907452
4.05,0.00919886
4.055,0.00919729
4.06,0.00899669
4.065,0.00843846
4.07,0.00744357
4.075,0.0061366
4.08,0.00469814
4.085,0.00319297
4.09,0.00172041
4.095,5.22762E-4
4.1,-3.76152E-4
4.105,-0.00120111
4.11,-0.00208067
4.115,-0.00276748
4.12,-0.00294048
4.125,-0.00264379
4.13,-0.00222798
4.135,-0.00196586
4.14,-0.0018213
4.145,-0.00162007
4.15,-0.00116182
4.155,-3.32958E-4
4.16,7.32048E-4
4.165,0.00180327
4.17,0.00277992
4.175,0.00368042
4.18,0.00452399
4.185,0.00524423
4.19,0.00575734
4.195,0.00618878
4.2,0.00670986
4.205,0.00720916
4.21,0.00741229
4.215,0.00721378
4.22,0.0066863
4.225,0.0060168
4.23,0.00549388
4.235,0.00535804
4.24,0.00544668
4.245,0.00534653
4.25,0.0050917
4.255,0.00503892
4.26,0.00531092
4.265,0.00566894
4.27,0.00575978
4.275,0.00546817
4.28,0.00498179
4.285,0.00458722
4.29,0.0044261
4.295,0.00453574
4.3,0.00480133
4.305,0.00492975
4.31,0.00474072
4.315,0.00433882
4.32,0.00398302
4.325,0.00394646
4.33,0.0043918
4.335,0.00543226
4.34,0.00707296
4.345,0.00922306
4.35,0.0115447
4.355,0.0134299
4.36,0.0144088
4.365,0.0144178
4.37,0.0137718
4.375,0.0128639
4.38,0.011941
4.385,0.0111584
4.39,0.0106028
4.395,0.010198
4.4,0.00978494
4.405,0.00939509
4.41,0.00909026
4.415,0.00874487
4.42,0.0081205
4.425,0.00697574
4.43,0.0052607
4.435,0.00325831
4.44,0.0014417
4.445,1.16189E-4
4.45,-7.50237E-4
4.455,-0.00147525
4.46,-0.00235876
4.465,-0.00346721
4.47,-0.00468838
4.475,-0.00588722
4.48,-0.00660363
4.485,-0.00616546
4.49,-0.00437397
4.495,-0.00170051
4.5,0.00116806
4.505,0.00386955
4.51,0.00625794
4.515,0.0082001
4.52,0.00961087
4.525,0.0105461
4.53,0.0112965
4.535,0.0120912
4.54,0.0128834
4.545,0.013496
4.55,0.0138114
4.555,0.013868
4.56,0.013755
4.565,0.0132955
4.57,0.0122189
4.575,0.0106265
4.58,0.0088075
4.585,0.0069529
4.59,0.00522274
4.595,0.00370184
4.6,0.00246401
4.605,0.00154446
4.61,6.51606E-4
4.615,-7.58999E-4
4.62,-0.00296826
4.625,-0.00564982
4.63,-0.00823473
4.635,-0.0102911
4.64,-0.0116362
4.645,-0.0123737
4.65,-0.0127635
4.655,-0.0130528
4.66,-0.0134161
4.665,-0.0139526
4.67,-0.0146788
4.675,-0.0153584
4.68,-0.0155764
4.685,-0.0150651
4.69,-0.0138917
4.695,-0.0122354
4.7,-0.0102747
4.705,-0.00814141
4.71,-0.00605422
4.715,-0.00421687
4.72,-0.00258082
4.725,-8.1014E-4
4.73,0.00141904
4.735,0.00413602
4.74,0.00708918
4.745,0.00987144
4.75,0.0120878
4.755,0.0134283
4.76,0.0137795
4.765,0.0134041
4.77,0.0127461
4.775,0.0119616
4.78,0.0108393
4.785,0.00930925
4.79,0.00763277
4.795,0.00593292
4.8,0.00406388
4.805,0.00186438
4.81,-6.20634E-4
4.815,-0.00314043
4.82,-0.00547853
4.825,-0.00766485
4.83,-0.0097831
4.835,-0.0117326
4.84,-0.0131632
4.845,-0.0137803
4.85,-0.0136286
4.855,-0.0129992
